Geo-Name;Geo-ID;Jahr;Pflichtschule*;Lehre;BMS;AHS;BHS;Kolleg;AkademikerInnen
21. Floridsdorf;92100;2022;23,94;27,49;10,74;9,68;7,91;0,99;19,25
21. Floridsdorf;92100;2023;24,21;26,96;10,46;9,86;7,78;1,01;19,71
22. Donaustadt;92200;2008;17,49;34,5;15,71;8,37;9,46;1,02;13,45
22. Donaustadt;92200;2009;18,15;33,62;15,48;8,45;9,33;1,05;13,92
22. Donaustadt;92200;2010;18,46;32,97;15,28;8,57;9,42;1,05;14,25
22. Donaustadt;92200;2011;18,57;32,25;15,06;8,55;9,56;1,03;14,97
22. Donaustadt;92200;2012;18,78;31,28;14,8;8,53;9,69;1,09;15,85
22. Donaustadt;92200;2013;19,29;30,39;14,48;8,58;9,64;1,1;16,51
22. Donaustadt;92200;2014;19,55;29,55;14,23;8,65;9,65;1,1;17,27
22. Donaustadt;92200;2015;18,19;29,59;13,66;9,43;9,76;1,07;18,3
22. Donaustadt;92200;2016;18,14;28,99;13,38;9,66;9,76;1,11;18,96
22. Donaustadt;92200;2017;17,93;28,64;13,19;9,91;9,73;1,12;19,48
22. Donaustadt;92200;2018;18,02;28,01;12,83;10,2;9,6;1,15;20,18
22. Donaustadt;92200;2019;18,02;27,44;12,61;10,19;9,46;1,15;21,13
22. Donaustadt;92200;2020;18,13;26,88;12,22;10,3;9,36;1,19;21,92
22. Donaustadt;92200;2021;18,01;26,33;11,85;10,47;9,28;1,2;22,87
22. Donaustadt;92200;2022;17,86;25,63;11,56;10,52;9,26;1,2;23,98
22. Donaustadt;92200;2023;17,97;25,02;11,22;10,61;9,13;1,21;24,84
23. Liesing;92300;2008;16,37;29,79;15,01;9,33;10,3;1,2;18,01
23. Liesing;92300;2009;16,94;29,14;14,72;9,29;10,09;1,21;18,6
23. Liesing;92300;2010;17,28;28,69;14,41;9,46;10,1;1,21;18,85
23. Liesing;92300;2011;17,55;28,26;14,09;9,41;10,11;1,15;19,43
23. Liesing;92300;2012;17,74;27,66;13,69;9,33;10,17;1,16;20,24
23. Liesing;92300;2013;18,21;26,87;13,42;9,16;10,12;1,17;21,04
23. Liesing;92300;2014;18,58;26,3;13,29;9,21;10,02;1,19;21,4
23. Liesing;92300;2015;17,94;26,74;12,7;9,63;9,99;1,19;21,8
23. Liesing;92300;2016;18,16;26,41;12,43;9,72;9,9;1,23;22,15
23. Liesing;92300;2017;18,19;26,3;12,18;9,84;9,81;1,23;22,44
23. Liesing;92300;2018;18,35;25,73;11,87;10,03;9,77;1,25;22,99
23. Liesing;92300;2019;18,27;25,36;11,49;10,25;9,83;1,26;23,54
23. Liesing;92300;2020;18,38;24,83;11,24;10,27;9,79;1,28;24,2
23. Liesing;92300;2021;18,62;24,45;10,95;10,33;9,76;1,28;24,61
23. Liesing;92300;2022;18,62;24,02;10,75;10,31;9,6;1,29;25,41
23. Liesing;92300;2023;18,83;23,75;10,55;10,43;9,56;1,27;25,6
