;temperament;min_height;max_height;min_weight;max_weight;energy_level_value;energy_level_category
Brussels Griffon;Loyal, Alert, Curious;17.78;25.40;3.62873896;4.535923700000001;0.6;Regular Exercise
Bull Terrier;Playful, Charming, Mischievous;53.34;55.88;22.6796185;31.751465900000003;0.8;Energetic
Bulldog;Friendly, Courageous, Calm;35.56;38.1;18.143694800000002;22.6796185;0.6;Regular Exercise
Bullmastiff;Affectionate, Loyal, Brave;60.96;68.58;45.359237;58.9670081;0.8;Energetic
Cairn Terrier;Alert, Cheerful, Busy;24.13;25.40;5.8967008100000005;6.35029318;0.6;Regular Exercise
Canaan Dog;Confident, Alert, Vigilant;48.26;60.96;15.875732950000002;24.947580350000003;0.6;Regular Exercise
Cane Corso;Affectionate, Intelligent, Majestic;59.69;69.85;0.0;0.0;0.8;Energetic
Cardigan Welsh Corgi;Affectionate, Loyal, Smart;26.67;31.75;11.33980925;17.23651006;0.8;Energetic
Carolina Dog;Loyal, Independent, Reserved with Strangers;45.085;49.53;13.6077711;24.947580350000003;0.6;Regular Exercise
Catahoula Leopard Dog;Loyal, Independent, Watchful;55.88;60.96;22.6796185;43.09127515;1.0;Needs Lots of Activity
Caucasian Shepherd Dog;Fearless, Bold, Kind;58.42;76.2;44.905644630000005;77.1107029;0.4;Calm
Cavalier King Charles Spaniel;Affectionate, Gentle, Graceful;30.48;33.02;5.8967008100000005;8.164662660000001;0.4;Calm
Central Asian Shepherd Dog;Independent, Courageous, Self-Confident;64.77;69.85;39.916128560000004;49.895160700000005;0.4;Calm
Cesky Terrier;Clever, Adventurous, Family-Oriented;25.40;33.02;6.35029318;10.886216880000001;0.6;Regular Exercise
Chesapeake Bay Retriever;Affectionate, Bright, Sensitive;53.34;66.04;24.947580350000003;36.287389600000004;0.8;Energetic
Chihuahua;Charming, Graceful, Sassy;12.600;20.32;2.7215542200000002;2.7215542200000002;0.6;Regular Exercise
Chinese Crested;Affectionate, Alert, Lively;27.94;33.02;3.62873896;5.4431084400000005;0.6;Regular Exercise
Chinese Shar-Pei;Loyal, Independent, Calm;45.72;50.8;20.41165665;27.2155422;0.6;Regular Exercise
Chinook;Smart, Patient, Devoted;55.88;66.04;22.6796185;40.8233133;0.8;Energetic
Chow Chow;Dignified, Bright, Serious-Minded;43.18;50.8;20.41165665;31.751465900000003;0.6;Regular Exercise
